Variable,Type,Missing_N,Missing_Pct
FILE_DATE,datetime64[ns],0,0.0
NAME,object,0,0.0
SIC_CODE_FKEY,float64,67,0.35
FISCAL_YE,float64,44,0.23
CURR_AUD_FKEY,int64,0,0.0
CURR_AUD_NAME,object,13420,70.79
CUR_AUDITOR_PCAOB,int64,0,0.0
PREV_AUD_FKEY,int64,0,0.0
PREV_AUD_NAME,object,1358,7.16
MR_FILE_DATE,object,0,0.0
MR_NT_FILE_DATE,datetime64[ns],0,0.0
IS_ACCEL_FILER,int64,0,0.0
ACCEL_FILER_PE_NUM,object,0,0.0
ACCEL_FILER_FORM_FKEY,object,0,0.0
ACCEL_FILER_LARGE,int64,0,0.0
ACCEL_FILER_SMALL,int64,0,0.0
CO_IS_TERM_DEREG,int64,0,0.0
CURR_PRICE_CLOSE,float64,12182,64.26
CURR_TSO,float64,12690,66.94
CURR_TSO_MC,float64,12001,63.3
CUSIP_NUMBER,object,0,0.0
PE_DATE_NUM,object,0,0.0
TEN_K_TRANS_REPORT,int64,0,0.0
PART2_A_CHECK,int64,0,0.0
PART2_B_CHECK,int64,0,0.0
PART2_C_CHECK,int64,0,0.0
NARRATIVE_TEXT,object,0,0.0
PART4_3_CHECK,int64,0,0.0
AUD_AT_FILE_DATE,int64,0,0.0
FORM_FKEY,object,0,0.0
AC_FORM_FKEY,object,0,0.0
AC_FILE_DATE,object,0,0.0
AC_FILE_SIZE,object,0,0.0
NT_REAS_KEYS,object,4,0.02
NT_REAS_TITLES,object,4,0.02
NT_REAS_DESCRIP,object,4,0.02
PRIORQU_TSO_MARKCAP,float64,5933,31.3
year,int64,0,0.0
DeadlineDays,int64,0,0.0
StatDeadline,datetime64[ns],0,0.0
DelayDays,int64,0,0.0
big4,int32,0,0.0
delay_dum,int64,0,0.0
nt_filed,int64,0,0.0
delay_count,int64,0,0.0
nt_count,int64,0,0.0
cusip8,object,0,0.0
cusip8_delay,object,0,0.0
nt_10q,int64,0,0.0
nt_10k,int64,0,0.0
ff12,object,0,0.0
delay_bin,object,0,0.0
bin_n,int64,0,0.0
gvkey,int64,0,0.0
datadate,datetime64[ns],0,0.0
cusip,object,0,0.0
exchg,int64,0,0.0
fyear,int64,0,0.0
at,float64,0,0.0
sale,float64,3618,19.08
firm_age,int64,0,0.0
sprate,float64,7661,40.41
rd2at,float64,0,0.0
ebitdp2at,float64,121,0.64
tobQ,float64,413,2.18
leverage2at,float64,14,0.07
leverage2at2,float64,0,0.0
Cash2at,float64,1,0.01
MKCAP,float64,410,2.16
M2B,float64,599,3.16
capx2at,float64,157,0.83
altz,float64,4185,22.08
ROA1,float64,60,0.32
ROA2,float64,59,0.31
ROE,float64,8233,43.43
LntobQ,float64,413,2.18
LNMKCAP,float64,410,2.16
LNTA,float64,0,0.0
LNSALES,float64,3618,19.08
lag_firm_age,float64,630,3.32
lag_sprate,float64,7804,41.16
lag_at,float64,1175,6.2
lag_lnta,float64,1175,6.2
lag_ebitdp2at,float64,1317,6.95
lag_tobq,float64,1610,8.49
lag_ROA1,float64,1209,6.38
lag_ROA2,float64,1207,6.37
lag_ROE,float64,7821,41.25
lag_leverage2at,float64,1191,6.28
lag_leverage2at2,float64,1175,6.2
lag_Cash2at,float64,1177,6.21
lag_capx2at,float64,1329,7.01
lag_altz,float64,5016,26.46
cyear,int64,0,0.0
cusip8_comp,object,0,0.0
narrative_clean,object,0,0.0
is_10k,int32,0,0.0
is_10q,int32,0,0.0
delay_days,int64,0,0.0
long_delay,int32,0,0.0
ln_at,float64,0,0.0
ln_sale,float64,3618,19.08
ln_mkcap,float64,411,2.17
extreme_delay,int32,0,0.0
