,Trust_Score,Trust_Score,Trust_Score,delay_days,delay_days,long_delay
,count,mean,std,mean,median,mean
year,,,,,,
2000,636,0.543,0.046,12.788,7.0,0.064
2001,783,0.54,0.058,18.65,6.0,0.074
2002,888,0.545,0.059,15.386,7.0,0.082
2003,941,0.546,0.056,23.057,7.0,0.134
2004,936,0.549,0.061,31.324,9.0,0.14
2005,1261,0.546,0.065,34.295,11.0,0.197
2006,1284,0.544,0.066,46.574,13.0,0.255
2007,1241,0.564,0.059,31.177,6.0,0.196
2008,1003,0.56,0.058,24.895,6.0,0.133
2009,959,0.564,0.057,25.488,9.0,0.145
2010,779,0.567,0.056,21.144,9.0,0.096
2011,850,0.569,0.054,28.542,8.0,0.108
2012,1016,0.569,0.055,22.549,6.0,0.122
2013,1099,0.575,0.053,24.535,7.0,0.136
2014,944,0.575,0.053,19.266,7.0,0.122
2015,778,0.578,0.049,32.584,9.0,0.168
2016,731,0.578,0.051,48.841,9.0,0.223
2017,530,0.576,0.054,31.636,7.0,0.166
2018,440,0.572,0.056,25.132,7.0,0.13
2019,399,0.579,0.049,34.712,9.0,0.18
2020,303,0.561,0.061,33.333,10.0,0.297
2021,293,0.569,0.053,23.003,9.0,0.133
2022,315,0.574,0.048,23.587,8.0,0.187
2023,292,0.576,0.05,21.366,8.0,0.164
2024,257,0.576,0.045,25.272,10.0,0.214
