,Trust_Score,Trust_Score,Trust_Score,Trust_Score,delay_days,delay_days,Severity_Index,Severity_Index
,count,mean,median,std,mean,median,mean,std
year,,,,,,,,
2000,636,0.543,0.543,0.046,12.788,7.0,0.207,0.033
2001,783,0.54,0.545,0.058,18.65,6.0,0.214,0.05
2002,888,0.545,0.55,0.059,15.386,7.0,0.208,0.043
2003,941,0.546,0.551,0.056,23.057,7.0,0.214,0.057
2004,936,0.549,0.558,0.061,31.324,9.0,0.219,0.069
2005,1261,0.546,0.552,0.065,34.295,11.0,0.225,0.075
2006,1284,0.544,0.543,0.066,46.574,13.0,0.238,0.091
2007,1241,0.564,0.569,0.059,31.177,6.0,0.215,0.069
2008,1003,0.56,0.562,0.058,24.895,6.0,0.209,0.062
2009,959,0.564,0.569,0.057,25.488,9.0,0.211,0.066
2010,779,0.567,0.572,0.056,21.144,9.0,0.205,0.056
2011,850,0.569,0.577,0.054,28.542,8.0,0.207,0.068
2012,1016,0.569,0.576,0.055,22.549,6.0,0.206,0.062
2013,1099,0.575,0.58,0.053,24.535,7.0,0.203,0.06
2014,944,0.575,0.58,0.053,19.266,7.0,0.199,0.052
2015,778,0.578,0.585,0.049,32.584,9.0,0.21,0.078
2016,731,0.578,0.582,0.051,48.841,9.0,0.22,0.086
2017,530,0.576,0.578,0.054,31.636,7.0,0.21,0.078
2018,440,0.572,0.575,0.056,25.132,7.0,0.205,0.065
2019,399,0.579,0.582,0.049,34.712,9.0,0.212,0.079
2020,303,0.561,0.56,0.061,33.333,10.0,0.218,0.069
2021,293,0.569,0.573,0.053,23.003,9.0,0.204,0.059
2022,315,0.574,0.574,0.048,23.587,8.0,0.203,0.053
2023,292,0.576,0.574,0.05,21.366,8.0,0.199,0.048
2024,257,0.576,0.577,0.045,25.272,10.0,0.204,0.047
